
ARTIGO 1:
povo: 12
driskill: 11
século: 11
populações: 10
séculos: 10
homens: 10
artigo: 9
trabalho: 9
pesquisa: 9
homem: 9
gênero: 9
university: 9
violência: 9
trans: 8
branco: 8
repressão: 8
expansão: 8
funções: 8
hill: 8
corpos: 8
crianças: 8
new: 8
história: 7
passado: 7
tópico: 7
oeste: 7
padrões: 7
cherokee: 7
tradições: 7
europeus: 7
cristãos: 7
reservas: 7
cultura: 7
decorrer: 6
relatos: 6
expectativas: 6
maioria: 6
lurie: 6
território: 6
professor: 6
queer: 6
sexualidades: 6
york: 6
indian: 6
chamamos: 5
fontes: 5
tema: 5
marcha: 5
consequências: 5
culturas: 5
tendo: 5
indígena: 5
casos: 5
apagamento: 5
citado: 5
brancos: 5
phd: 5
pessoa: 5
vida: 5
sexual: 5
invasores: 5
people: 5
valores: 5
viver: 5
intervenções: 5
colonização: 5
sexualidade: 5
janeiro: 4
derivado: 4
posteriores: 4
inicial: 4
atuais: 4
interesses: 4
originárias: 4
certos: 4
mínimo: 4
acadêmicos: 4
buscando: 4
rótulos: 4
estudos: 4
xix: 4
holder: 4
histórico: 4
preconceito: 4
sociedades: 4
conceito: 4
ideia: 4
berdache: 4
faimansilva: 4
pesquisador: 4
escritor: 4
palavras: 4
necessariamente: 4
compreender: 4
base: 4
resistência: 4
viviam: 4
cuja: 4
brown: 4
cristã: 4
boa: 4
livro: 4
gender: 4
mulheres: 4
history: 4
florida: 4
europeia: 4
acordo: 4
escolas: 4
devido: 4
relato: 4
processos: 4
vergonha: 4
conjunto: 4
africanos: 4
borges: 3
universidade: 3
federal: 3
originou: 3
publicado: 3
admiração: 3
revista: 3
publicação: 3
dia: 3
pergunta: 3
questão: 3
conhecimento: 3
gerações: 3
papéis: 3
américas: 3
verdade: 3
escola: 3
bibliografias: 3
estadunidenses: 3
nada: 3
foco: 3
próximo: 3
certa: 3
liberdade: 3
certas: 3
realidades: 3
wewha: 3
usando: 3
encontram: 3
distintos: 3
uso: 3
roupas: 3
adereços: 3
masculino: 3
menção: 3
intersexo: 3
xx: 3
vêm: 3
possibilidade: 3
utilização: 3
idealizados: 3
trabalhado: 3
performavam: 3
lógica: 3
status: 3
social: 3
décadas: 3
movimentos: 3
descendentes: 3
inglês: 3
escritos: 3
analisar: 3
qwoli: 3
bodies: 3
nations: 3
brancas: 3
contextos: 3
porque: 3
gay: 3
intervenção: 3
incontáveis: 3
expressar: 3
heterossexuais: 3
capaz: 3
opressões: 3
chegada: 3
zuni: 3
relações: 3
problemas: 3
realidade: 3
professora: 3
balboa: 3
espanhol: 3
alvos: 3
morte: 3
baseados: 3
obra: 3
fácil: 3
xviii: 3
constantemente: 3
invasão: 3
língua: 3
will: 3
práticas: 3
preocupação: 3
gêneros: 3
journal: 3
repressivos: 3
sandra: 3
conformidade: 3
opressão: 3
genocídio: 3
fanon: 3
organization: 3
ed: 3
sage: 3
anthropologist: 3
hoboken: 3
abrjun: 3
intersex: 3
dandriel: 2
henrique: 2
silva: 2
ufrj: 2
considerações: 2
título: 2
escárnio: 2
áreas: 2
chamada: 2
outrora: 2
pesquisas: 2
desenvolvidos: 2
estudo: 2
atrás: 2
deixo: 2
resposta: 2
graduação: 2
necessário: 2
meios: 2
sites: 2
associáveis: 2
mundo: 2
origem: 2
explícito: 2
realizei: 2
metodologia: 2
devemos: 2
bibliográfica: 2
produções: 2
majoritariamente: 2
médicos: 2
naturalistas: 2
antropólogos: 2
nenhuma: 2
produção: 2
espaço: 2
tópicos: 2
esclarecer: 2
apresentar: 2
objetivo: 2
vir: 2
dando: 2
conhecido: 2
mediaimagejpeg: 2
feminino: 2
national: 2
anthropological: 2
archives: 2
smithsonian: 2
institution: 2
humanos: 2
essencial: 2
certo: 2
associados: 2
mesmas: 2
encontrei: 2
menções: 2
hermafroditas: 2
português: 2
termos: 2
mencionado: 2
viável: 2
referências: 2
submetidos: 2
preconceitos: 2
direta: 2
existência: 2
usado: 2
fugissem: 2
pesquisadores: 2
perpetuados: 2
judith: 2
butler: 2
referência: 2
performarem: 2
baseada: 2
invadiram: 2
antiga: 2
nomenclatura: 2
visão: 2
trazia: 2
grafia: 2
referente: 2
variadas: 2
países: 2
bibliografia: 2
incluindo: 2
vale: 2
refletir: 2
ativista: 2
indivíduo: 2
defende: 2
stolen: 2
first: 2
twospiritsqueers: 2
journey: 2
sovereign: 2
erotic: 2
sexuais: 2
possa: 2
simplesmente: 2
complexo: 2
vistas: 2
euroamericanos: 2
complexidade: 2
dissociada: 2
experiência: 2
cidadãos: 2
euroamericano: 2
construída: 2
distintas: 2
exerceriam: 2
perpetuada: 2
contemporaneidade: 2
consideradas: 2
figuras: 2
interpretados: 2
riqueza: 2
inclusive: 2
bote: 2
boté: 2
crow: 2
navajo: 2
começou: 2
brasil: 2
acaba: 2
materiais: 2
trago: 2
evolutions: 2
rainbow: 2
diversity: 2
sexuality: 2
nature: 2
joan: 2
mulher: 2
emérita: 2
espanhóis: 2
xvi: 2
nuño: 2
guzman: 2
vasco: 2
núñez: 2
particularmente: 2
começaram: 2
ajuda: 2
tomados: 2
demonstram: 2
julgamentos: 2
morais: 2
comportamento: 2
bernard: 2
romans: 2
concise: 2
natural: 2
east: 2
west: 2
tentativa: 2
tantos: 2
extra: 2
citada: 2
europeias: 2
buscavam: 2
possuíam: 2
atuação: 2
leste: 2
reduzidos: 2
arizona: 2
atualmente: 2
encontravam: 2
física: 2
sistematicamente: 2
violentados: 2
forças: 2
vidas: 2
religiões: 2
amplo: 2
população: 2
civilizar: 2
reserva: 2
abordando: 2
falar: 2
grau: 2
performance: 2
nus: 2
esforços: 2
traz: 2
comunidade: 2
comportamentos: 2
missionária: 2
interna: 2
controle: 2
internatos: 2
administrados: 2
severamente: 2
meninas: 2
sair: 2
encontrados: 2
tendências: 2
rapidamente: 2
identificadas: 2
gênerofootnote: 2
punidas: 2
punições: 2
trechos: 2
interesse: 2
ancestrais: 2
sinais: 2
hábitos: 2
médico: 2
medical: 2
trouxe: 2
começar: 2
livremente: 2
violentas: 2
bridgewater: 2
resultado: 2
forte: 2
influência: 2
civilização: 2
baseado: 2
nancy: 2
winnebago: 2
hochunk: 2
infligida: 2
mexico: 2
respeitados: 2
invasões: 2
agressão: 2
sexismo: 2
homofobia: 2
transfobia: 2
colonos: 2
natais: 2
vividas: 2
apontado: 2
graus: 2
frantz: 2
pele: 2
negra: 2
máscaras: 2
sujeitos: 2
negros: 2
colonialidade: 2
problema: 2
maldonadotorres: 2
negro: 2
epidermização: 2
inferioridade: 2
racismo: 2
imposta: 2
lutas: 2
histórias: 2
escravização: 2
consequentes: 2
territorial: 2
mediaimagepng: 2
bay: 2
area: 2
foto: 2
albuquerque: 2
junho: 2
studies: 2
tucson: 2
obrien: 2
jodi: 2
encyclopedia: 2
society: 2
two: 2
spirit: 2
lesbian: 2
homophobia: 2
trad: 2
note: 2
north: 2
world: 2
health: 2
dez: 2
decolonialidade: 2
human: 2
rights: 2
reis: 2
elizabeth: 2
review: 2
sangue: 1
terra: 1
sol: 1
põe: 1
narrativas: 1
twospiritsfootnote: 1
graduando: 1
hrefmailtodandrielhenriquegmailcomdandrielhenriquegmailcoma: 1
iniciais: 1
apresentação: 1
oral: 1
frutos: 1
disciplinas: 1
ii: 1
iii: 1
ministradas: 1
semestre: 1
letivo: 1
respectivamente: 1
professoras: 1
doutoras: 1
alessandra: 1
gonzález: 1
carvalho: 1
seixlack: 1
hevelly: 1
ferreira: 1
acruche: 1
correlatas: 1
dedicada: 1
graduandos: 1
páginas: 1
recortes: 1
acréscimos: 1
colocado: 1
apresentado: 1
dúvida: 1
ocorreu: 1
transgêneras: 1
surgiram: 1
senso: 1
dava: 1
entender: 1
estariam: 1
presentes: 1
distante: 1
colocada: 1
acadêmico: 1
pareça: 1
caricata: 1
óbvia: 1
acredite: 1
saiba: 1
temática: 1
ignorante: 1
descobri: 1
entrar: 1
metodológico: 1
realizar: 1
histórica: 1
disponíveis: 1
rápida: 1
busca: 1
conseguido: 1
indícios: 1
comecei: 1
questionar: 1
derivariam: 1
exerciam: 1
rotulamos: 1
semestres: 1
escuro: 1
resolvi: 1
direcionar: 1
habitamos: 1
tanta: 1
consciência: 1
perigos: 1
ideias: 1
colocadas: 1
cabeça: 1
buscar: 1
perigoso: 1
culminar: 1
positivista: 1
superada: 1
annales: 1
penso: 1
permitir: 1
surpreender: 1
leituras: 1
buscamos: 1
repostas: 1
feitas: 1
perguntas: 1
idealizadas: 1
enviesadas: 1
futuro: 1
historiador: 1
objetivos: 1
culminaram: 1
pontos: 1
derivam: 1
ampla: 1
revisão: 1
escritas: 1
etnólogos: 1
produzi: 1
breve: 1
introdutória: 1
pretensão: 1
inovar: 1
criar: 1
novas: 1
perspectivas: 1
contribuir: 1
difusão: 1
começarei: 1
abordar: 1
pouquíssima: 1
portuguêsfootnote: 1
encontra: 1
